courts
SUPREME COURT
MILIMANI LAW COURTS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CITY COURT
MILIMANI COMMERCIAL COURT
MAKADARA LAW COURTS
KIBERA LAW COURTS
KISUMU LAW COURTS 
WINAM LAW COURTS				
MASENO LAW COURTS
SIAYA LAW COURTS
BONDO LAW COURTS
UKWALA LAW COURTS
NYANDO LAW COURTS
TAMU LAW COURTS
HOMA-BAY LAW COURTS
NDHIWA LAW COURTS
MIGORI LAW  COURTS
RONGO LAW COURTS
OYUGIS LAW COURTS
KISII LAW COURTS
NYAMIRA  LAW COURTS
OGEMBO LAW COURTS
KEROKA  LAW COURTS
KEHANCHA  LAW  COURTS
KAKAMEGA LAW COURTS
MUMIAS  LAW COURTS
BUTERE LAW COURTS
BUTALI LAW COURTS
VIHIGA LAW COURTS
HAMISI LAW COURTS
BUNGOMA LAW  COURTS
WEBUYE  LAW COURTS
KIMILILI LAW COURTS
SIRISIA LAW COURTS
BUSIA LAW COURTS
NAKURU LAW COURTS
NAIVASHA LAW COURTS
ENGINEER COURT
MOLO LAW COURTS
ELDORET LAW COURTS
KAPSABET LAW  COURT COURTS
KITALE LAW COURTS
KERICHO LAW  COURTS
SOTIK LAW COURTS
BOMET LAW COURTS
ITEN LAW COURTS 
KABARNET LAW COURTS
ELDAMA-RAVINE LAW COURTS
NAROK LAW COURTS
KILGORIS LAW COURTS
KAJIADO LAW COURTS
KAPENGURIA LAW COURTS
MARALAL LAW COURTS
LODWAR LAW COURTS
KAKUMA LAW COURTS
NANYUKI LAW COURTS
NYAHURURU LAW COURTS
NYERI LAW  COURTS
OTHAYA LAW COURTS
KARATINA LAW COURTS 
MUKURWEINI LAW COURTS
MURANG’A LAW COURTS
KANGEMA LAW COURTS
KIGUMO LAW COURTS
THIKA LAW COURTS
GATUNDU LAW COURTS
KANDARA LAW COURTS
KIAMBU LAW COURTS
GITHUNGURI LAW COURTS
KIKUYU LAW COURTS
LIMURU LAW  COURTS
KERUGOYA LAW COURTS
BARICHO LAW COURTS
GICHUGU LAW COURTS
WANG’URU LAW COURTS
EMBU LAW COURTS
RUNYENJES LAW COURTS
SIAKAGO LAW COURTS
MERU LAW COURTS
CHUKA LAW COURTS
MARIMANTI LAW COURTS
NKUBU LAW COURTS
MAUA LAW COURTS
TIGANIA LAW COURTS
MACHAKOS LAW COURTS
MAVOKO LAW COURTS
KITHIMANI LAW COURTS
KANGUNDO COURT
TAWA LAW COURTS
MAKUENI LAW COURTS
KILUNGU LAW COURTS
MAKINDU LAW COURTS
KITUI LAW COURTS
MUTOMO LAW COURTS
MWINGI LAW COURTS 
KYUSO LAW COURTS
MARSABIT LAW COURTS
ISIOLO LAW COURTS
MOYALE LAW COURTS 
MOMBASA LAW COURTS

MALINDI LAW COURTS
GARSEN LAW COURTS
KALOLENI LAW COURTS
KILIFI LAW COURTS
VOI LAW COURTS
MARIAKANI COURT
WUNDANYI LAW COURTS
SHANZU LAW COURTS
TAVETA LAW COURTS
KWALE LAW COURTS
LAMU LAW COURTS
HOLA LAW COURTS
GARISSA LAW COURTS
WAJIR LAW COURTS
MANDERA LAW COURTS
